id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,vt2016,vt2016Low,vt2016High,vt2020,vt2020Low,vt2020High,Poverty vs 2016,Age vs 2016,Income vs 2016,Poverty vs 2020,Age vs 2020,Income vs 2020
1,Alabama,AL,19.3,0.5,38.6,0.2,42830,598,56.3,51.3,61.3,63.1,58.1,68.1,-0.439127701,0.397066414,0.150683259,-0.552348816,0.322702882,0.391472116
2,Alaska,AK,11.2,0.9,33.3,0.3,71583,1784,57.4,52.4,62.4,68.4,63.4,73.4,,,,,,
4,Arizona,AZ,18.2,0.4,36.9,0.1,50068,483,48.9,43.9,53.9,65.2,60.2,70.2,,,,,,
5,Arkansas,AR,18.9,0.5,37.8,0.2,41262,653,49.4,44.4,54.4,55.9,50.9,60.9,,,,,,
6,California,CA,16.4,0.2,36,0.1,61933,238,47,42,52,67.4,62.4,72.4,,,,,,
8,Colorado,CO,12,0.4,36.3,0.1,61303,487,64.6,59.6,69.6,75.5,70.5,80.5,,,,,,
9,Connecticut,CT,10.8,0.5,40.5,0.2,70048,828,58.3,53.3,63.3,70.1,65.1,75.1,,,,,,
10,Delaware,DE,12.5,0.9,39.6,0.3,59716,1674,59.2,54.2,64.2,69.9,64.9,74.9,,,,,,
11,Washington D.C.,DC,17.7,1.2,33.8,0.2,71648,1996,55.4,50.4,60.4,63.7,58.7,68.7,,,,,,
12,Florida,FL,16.5,0.3,41.6,0.1,47463,329,56.9,51.9,61.9,71.2,66.2,76.2,,,,,,
13,Georgia,GA,18.3,0.4,36.1,0.1,49321,543,52.6,47.6,57.6,67.7,62.7,72.7,,,,,,
15,Hawaii,HI,11.4,0.8,38.1,0.2,69592,1456,38.3,33.3,43.3,57,52,62,,,,,,
16,Idaho,ID,14.8,0.7,35.9,0.2,47861,1275,55,50,60,67.1,62.1,72.1,,,,,,
17,Illinois,IL,14.4,0.3,37.5,0.2,57444,429,56.7,51.7,61.7,66.8,61.8,71.8,,,,,,
18,Indiana,IN,15.2,0.4,37.4,0.2,49446,487,54,49,59,60.7,55.7,65.7,,,,,,
19,Iowa,IA,12.2,0.5,38.2,0.1,53712,761,65.1,60.1,70.1,72.8,67.8,77.8,,,,,,
20,Kansas,KS,13.6,0.5,36.2,0.1,52504,706,54,49,59,63.9,58.9,68.9,,,,,,
21,Kentucky,KY,19.1,0.5,38.5,0.2,42958,697,56.1,51.1,61.1,64.5,59.5,69.5,,,,,,
22,Louisiana,LA,19.8,0.5,36.1,0.1,44555,738,56.8,51.8,61.8,61.4,56.4,66.4,,,,,,
23,Maine,ME,14.1,0.7,44.1,0.2,49462,1112,69.4,64.4,74.4,75.5,70.5,80.5,,,,,,
24,Maryland,MD,10.1,0.4,38.3,0.1,73971,867,59.5,54.5,64.5,70.4,65.4,75.4,,,,,,
25,Massachusetts,MA,11.6,0.3,39.4,0.2,69160,957,61.1,56.1,66.1,71.6,66.6,76.6,,,,,,
26,Michigan,MI,16.2,0.3,39.6,0.1,49847,385,62,57,67,73.4,68.4,78.4,,,,,,
27,Minnesota,MN,11.5,0.4,37.8,0.1,61481,471,69.4,64.4,74.4,79.6,74.6,84.6,,,,,,
28,Mississippi,MS,21.5,0.6,36.7,0.2,39680,773,53.3,48.3,58.3,59.7,54.7,64.7,,,,,,
29,Missouri,MO,15.5,0.4,38.5,0.1,48363,567,59.6,54.6,64.6,65.4,60.4,70.4,,,,,,
30,Montana,MT,15.4,0.8,39.6,0.3,46328,1217,60.8,55.8,65.8,72.1,67.1,77.1,,,,,,
31,Nebraska,NE,12.4,0.5,36.2,0.2,52686,688,58.8,53.8,63.8,68.8,63.8,73.8,,,,,,
32,Nevada,NV,15.2,0.7,37.4,0.2,51450,683,49.4,44.4,54.4,65.2,60.2,70.2,,,,,,
33,New Hampshire,NH,9.2,0.6,42.5,0.3,66532,1297,69.1,64.1,74.1,74.7,69.7,79.7,,,,,,
34,New Jersey,NJ,11.1,0.3,39.4,0.2,71919,438,55.7,50.7,60.7,73.9,68.9,78.9,,,,,,
35,New Mexico,NM,21.3,0.9,37.2,0.2,44803,849,50.2,45.2,55.2,61,56,66,,,,,,
36,New York,NY,15.9,0.3,38.2,0.1,58878,393,49.6,44.6,54.6,62.9,57.9,67.9,,,,,,
37,North Carolina,NC,17.2,0.3,38.3,0.1,46556,381,60.2,55.2,65.2,71.2,66.2,76.2,,,,,,
38,North Dakota,ND,11.5,0.9,35.1,0.2,59029,1681,59.3,54.3,64.3,64,59,69,,,,,,
39,Ohio,OH,15.8,0.3,39.4,0.1,49308,363,61,56,66,66.8,61.8,71.8,,,,,,
40,Oklahoma,OK,16.6,0.4,36.2,0.2,47529,454,49,44,54,54.8,49.8,59.8,,,,,,
41,Oregon,OR,16.6,0.5,39.3,0.2,51075,490,61.7,56.7,66.7,74.3,69.3,79.3,,,,,,
42,Pennsylvania,PA,13.6,0.3,40.7,0.1,53234,420,61,56,66,70.7,65.7,75.7,,,,,,
44,Rhode Island,RI,14.3,0.9,39.8,0.3,54891,1488,54.7,49.7,59.7,64.7,59.7,69.7,,,,,,
45,South Carolina,SC,18,0.5,38.8,0.1,45238,507,54.2,49.2,59.2,64,59,69,,,,,,
46,South Dakota,SD,14.2,0.7,36.6,0.3,50979,1027,56.6,51.6,61.6,65.2,60.2,70.2,,,,,,
47,Tennessee,TN,18.3,0.4,38.6,0.1,44361,561,48.6,43.6,53.6,59.6,54.6,64.6,,,,,,
48,Texas,TX,17.2,0.2,34.3,0.1,53035,377,43.4,38.4,48.4,60.2,55.2,65.2,,,,,,
49,Utah,UT,11.7,0.6,30.5,0.1,60922,658,52.8,47.8,57.8,67.9,62.9,72.9,,,,,,
50,Vermont,VT,12.2,0.8,42.8,0.3,54166,1724,62.3,57.3,67.3,73.5,68.5,78.5,,,,,,
51,Virginia,VA,11.8,0.3,37.7,0.1,64902,624,60.8,55.8,65.8,72,67,77,,,,,,
53,Washington,WA,13.2,0.4,37.5,0.1,61366,485,58.3,53.3,63.3,75.2,70.2,80.2,,,,,,
54,West Virginia,WV,18.3,0.7,41.9,0.2,41059,651,49.2,44.2,54.2,57,52,62,,,,,,
55,Wisconsin,WI,13.2,0.4,39.2,0.2,52622,433,66.2,61.2,71.2,75.5,70.5,80.5,,,,,,
56,Wyoming,WY,11.2,0.9,36.6,0.4,57055,1983,57.3,52.3,62.3,64.2,59.2,69.2,,,,,,
